direction,datetime,price,signal
sell,2023-09-06 10:05:00-04:00,332.0199890136719,stop_loss
buy,2023-09-06 10:06:00-04:00,332.010009765625,moving_average
sell,2023-09-06 10:14:00-04:00,331.3399963378906,stop_loss
sell,2023-09-06 10:18:00-04:00,332.2099914550781,moving_average
buy,2023-09-06 10:37:00-04:00,332.54998779296875,stop_loss
sell,2023-09-06 10:38:00-04:00,332.4800109863281,moving_average
buy,2023-09-06 10:59:00-04:00,331.3500061035156,take_profit
buy,2023-09-06 11:00:00-04:00,331.3900146484375,moving_average
sell,2023-09-06 11:11:00-04:00,331.0299987792969,stop_loss
buy,2023-09-06 12:29:00-04:00,330.8888854980469,moving_average
sell,2023-09-06 12:41:00-04:00,330.5299987792969,stop_loss
sell,2023-09-06 15:10:00-04:00,331.8500061035156,moving_average
buy,2023-09-06 15:15:00-04:00,332.2149963378906,stop_loss
buy,2023-09-06 15:27:00-04:00,331.8900146484375,moving_average
sell,2023-09-06 15:32:00-04:00,331.5899963378906,stop_loss
sell,2023-09-06 09:37:00-04:00,136.24000549316406,moving_average
buy,2023-09-06 09:41:00-04:00,136.5489959716797,stop_loss
sell,2023-09-06 09:42:00-04:00,136.58999633789062,moving_average
buy,2023-09-06 09:51:00-04:00,137.00100708007812,stop_loss
sell,2023-09-06 09:52:00-04:00,137.1204071044922,moving_average
buy,2023-09-06 09:57:00-04:00,137.42340087890625,stop_loss
buy,2023-09-06 10:00:00-04:00,136.67999267578125,moving_average
sell,2023-09-06 10:02:00-04:00,136.22999572753906,stop_loss
buy,2023-09-06 10:03:00-04:00,136.25,moving_average
sell,2023-09-06 10:06:00-04:00,135.94000244140625,stop_loss
buy,2023-09-06 10:07:00-04:00,135.93190002441406,moving_average
sell,2023-09-06 11:11:00-04:00,135.6199951171875,stop_loss
sell,2023-09-06 11:19:00-04:00,135.86000061035156,moving_average
buy,2023-09-06 12:44:00-04:00,134.75990295410156,take_profit
buy,2023-09-06 12:46:00-04:00,134.6999969482422,moving_average
sell,2023-09-06 15:59:00-04:00,135.36000061035156,last_row
sell,2023-09-07 09:36:00-04:00,176.30999755859375,moving_average
buy,2023-09-07 09:37:00-04:00,176.6154022216797,stop_loss
sell,2023-09-07 09:38:00-04:00,176.6383056640625,moving_average
buy,2023-09-07 09:41:00-04:00,177.3800048828125,stop_loss
sell,2023-09-07 09:42:00-04:00,177.22999572753906,moving_average
buy,2023-09-07 09:46:00-04:00,177.74000549316406,stop_loss
buy,2023-09-07 09:48:00-04:00,176.85000610351562,moving_average
sell,2023-09-07 09:53:00-04:00,176.41000366210938,stop_loss
buy,2023-09-07 09:54:00-04:00,176.0399932861328,moving_average
sell,2023-09-07 10:45:00-04:00,177.08999633789062,take_profit
buy,2023-09-07 10:51:00-04:00,176.75900268554688,moving_average
sell,2023-09-07 11:12:00-04:00,177.97500610351562,take_profit
sell,2023-09-07 11:13:00-04:00,177.92999267578125,moving_average
buy,2023-09-07 11:53:00-04:00,176.84500122070312,take_profit
buy,2023-09-07 12:11:00-04:00,176.75990295410156,moving_average
sell,2023-09-07 13:08:00-04:00,176.38999938964844,stop_loss
buy,2023-09-07 13:11:00-04:00,176.35830688476562,moving_average
sell,2023-09-07 13:13:00-04:00,176.0399932861328,stop_loss
buy,2023-09-07 13:14:00-04:00,176.0500030517578,moving_average
sell,2023-09-07 13:58:00-04:00,177.06500244140625,take_profit
sell,2023-09-07 14:41:00-04:00,176.87840270996094,moving_average
buy,2023-09-07 14:54:00-04:00,177.25999450683594,stop_loss
sell,2023-09-07 14:55:00-04:00,177.2801055908203,moving_average
buy,2023-09-07 15:31:00-04:00,177.67999267578125,stop_loss
sell,2023-09-07 15:32:00-04:00,177.7299041748047,moving_average
buy,2023-09-07 15:59:00-04:00,177.55999755859375,last_row
buy,2023-09-07 09:38:00-04:00,330.3599853515625,moving_average
sell,2023-09-07 09:42:00-04:00,331.67999267578125,take_profit
sell,2023-09-07 09:44:00-04:00,331.42498779296875,moving_average
buy,2023-09-07 10:20:00-04:00,331.7799987792969,stop_loss
sell,2023-09-07 10:21:00-04:00,331.9100036621094,moving_average
buy,2023-09-07 10:31:00-04:00,330.8599853515625,take_profit
buy,2023-09-07 10:32:00-04:00,330.739990234375,moving_average
sell,2023-09-07 10:38:00-04:00,331.9437866210937,take_profit
sell,2023-09-07 10:39:00-04:00,332.04998779296875,moving_average
buy,2023-09-07 10:40:00-04:00,332.4414978027344,stop_loss
sell,2023-09-07 10:41:00-04:00,332.6300048828125,moving_average
buy,2023-09-07 11:21:00-04:00,331.260009765625,take_profit
buy,2023-09-07 11:22:00-04:00,331.2149963378906,moving_average
sell,2023-09-07 11:25:00-04:00,330.8599853515625,stop_loss
sell,2023-09-07 11:34:00-04:00,331.3299865722656,moving_average
buy,2023-09-07 12:07:00-04:00,331.8900146484375,stop_loss
buy,2023-09-07 12:21:00-04:00,331.2773132324219,moving_average
sell,2023-09-07 12:49:00-04:00,330.9599914550781,stop_loss
buy,2023-09-07 13:08:00-04:00,330.3900146484375,moving_average
sell,2023-09-07 14:13:00-04:00,330.0592956542969,stop_loss
buy,2023-09-07 14:33:00-04:00,329.0849914550781,moving_average
sell,2023-09-07 14:53:00-04:00,330.114990234375,take_profit
buy,2023-09-07 15:08:00-04:00,329.6400146484375,moving_average
sell,2023-09-07 15:51:00-04:00,330.6875,take_profit
buy,2023-09-07 15:59:00-04:00,329.9200134277344,moving_average
sell,2023-09-07 09:36:00-04:00,133.9199981689453,moving_average
buy,2023-09-07 09:41:00-04:00,134.25999450683594,stop_loss
sell,2023-09-07 09:42:00-04:00,134.42999267578125,moving_average
buy,2023-09-07 09:49:00-04:00,134.77000427246094,stop_loss
sell,2023-09-07 09:50:00-04:00,134.7899932861328,moving_average
buy,2023-09-07 09:58:00-04:00,135.10000610351562,stop_loss
sell,2023-09-07 09:59:00-04:00,135.3000030517578,moving_average
buy,2023-09-07 10:10:00-04:00,135.62730407714844,stop_loss
sell,2023-09-07 10:11:00-04:00,135.8000030517578,moving_average
buy,2023-09-07 10:14:00-04:00,136.11000061035156,stop_loss
sell,2023-09-07 10:20:00-04:00,136.22999572753906,moving_average
buy,2023-09-07 10:45:00-04:00,136.6750030517578,stop_loss
buy,2023-09-07 10:51:00-04:00,136.3300018310547,moving_average
sell,2023-09-07 10:54:00-04:00,136.01499938964844,stop_loss
buy,2023-09-07 10:57:00-04:00,135.9499969482422,moving_average
sell,2023-09-07 11:55:00-04:00,135.64999389648438,stop_loss
buy,2023-09-07 11:56:00-04:00,135.52999877929688,moving_average
sell,2023-09-07 13:03:00-04:00,136.52999877929688,take_profit
buy,2023-09-07 13:07:00-04:00,136.3300018310547,moving_average
sell,2023-09-07 13:53:00-04:00,137.36000061035156,take_profit
sell,2023-09-07 13:55:00-04:00,137.47999572753906,moving_average
buy,2023-09-07 15:44:00-04:00,137.84500122070312,stop_loss
sell,2023-09-07 15:46:00-04:00,137.8800048828125,moving_average
buy,2023-09-07 15:59:00-04:00,137.85000610351562,last_row
sell,2023-09-08 09:37:00-04:00,179.3905029296875,moving_average
buy,2023-09-08 09:40:00-04:00,179.7100067138672,stop_loss
sell,2023-09-08 09:41:00-04:00,179.82000732421875,moving_average
buy,2023-09-08 11:10:00-04:00,178.8000030517578,take_profit
sell,2023-09-08 11:22:00-04:00,179.4949951171875,moving_average
buy,2023-09-08 11:25:00-04:00,179.8249969482422,stop_loss
sell,2023-09-08 11:32:00-04:00,180.05990600585938,moving_average
buy,2023-09-08 14:13:00-04:00,179.01499938964844,take_profit
buy,2023-09-08 14:14:00-04:00,178.88999938964844,moving_average
sell,2023-09-08 14:38:00-04:00,178.55999755859375,stop_loss
buy,2023-09-08 14:39:00-04:00,178.38900756835938,moving_average
sell,2023-09-08 14:54:00-04:00,178.04010009765625,stop_loss
buy,2023-09-08 15:01:00-04:00,177.97000122070312,moving_average
sell,2023-09-08 15:59:00-04:00,178.19000244140625,last_row
sell,2023-09-08 09:36:00-04:00,332.3999938964844,moving_average
buy,2023-09-08 09:42:00-04:00,332.7200012207031,stop_loss
sell,2023-09-08 09:46:00-04:00,333.1600036621094,moving_average
buy,2023-09-08 09:48:00-04:00,333.885009765625,stop_loss
sell,2023-09-08 09:49:00-04:00,334.0299987792969,moving_average
buy,2023-09-08 10:03:00-04:00,334.4750061035156,stop_loss
sell,2023-09-08 10:04:00-04:00,334.5400085449219,moving_average
buy,2023-09-08 10:06:00-04:00,335.0799865722656,stop_loss
sell,2023-09-08 10:12:00-04:00,335.1600036621094,moving_average
buy,2023-09-08 10:15:00-04:00,335.5400085449219,stop_loss
sell,2023-09-08 10:16:00-04:00,335.3515014648437,moving_average
buy,2023-09-08 10:20:00-04:00,335.8399963378906,stop_loss
sell,2023-09-08 10:30:00-04:00,335.8399963378906,moving_average
buy,2023-09-08 10:41:00-04:00,334.510009765625,take_profit
sell,2023-09-08 10:51:00-04:00,334.95489501953125,moving_average
buy,2023-09-08 11:30:00-04:00,335.29998779296875,stop_loss
sell,2023-09-08 11:32:00-04:00,335.6400146484375,moving_average
buy,2023-09-08 11:37:00-04:00,336.0299987792969,stop_loss
buy,2023-09-08 11:56:00-04:00,335.44000244140625,moving_average
sell,2023-09-08 12:00:00-04:00,335.1099853515625,stop_loss
buy,2023-09-08 12:32:00-04:00,334.510009765625,moving_average
sell,2023-09-08 12:47:00-04:00,334.17999267578125,stop_loss
sell,2023-09-08 13:16:00-04:00,335.1737976074219,moving_average
buy,2023-09-08 14:01:00-04:00,335.8299865722656,stop_loss
sell,2023-09-08 14:03:00-04:00,335.9949951171875,moving_average
buy,2023-09-08 14:11:00-04:00,334.51568603515625,take_profit
buy,2023-09-08 14:12:00-04:00,334.54998779296875,moving_average
sell,2023-09-08 14:26:00-04:00,334.2250061035156,stop_loss
sell,2023-09-08 14:36:00-04:00,334.7799987792969,moving_average
buy,2023-09-08 14:59:00-04:00,333.7300109863281,take_profit
buy,2023-09-08 15:00:00-04:00,333.5899963378906,moving_average
sell,2023-09-08 15:36:00-04:00,333.2699890136719,stop_loss
buy,2023-09-08 15:37:00-04:00,333.2049865722656,moving_average
sell,2023-09-08 15:56:00-04:00,334.2449951171875,take_profit
sell,2023-09-08 09:42:00-04:00,137.63999938964844,moving_average
buy,2023-09-08 10:13:00-04:00,137.9550018310547,stop_loss
sell,2023-09-08 10:14:00-04:00,137.91000366210938,moving_average
buy,2023-09-08 10:17:00-04:00,138.27999877929688,stop_loss
sell,2023-09-08 10:18:00-04:00,138.27499389648438,moving_average
buy,2023-09-08 11:20:00-04:00,138.6300048828125,stop_loss
buy,2023-09-08 11:45:00-04:00,138.5124053955078,moving_average
sell,2023-09-08 12:01:00-04:00,138.2050018310547,stop_loss
sell,2023-09-08 12:15:00-04:00,138.5312957763672,moving_average
buy,2023-09-08 15:59:00-04:00,138.22999572753906,last_row
buy,2023-09-11 09:36:00-04:00,179.17999267578125,moving_average
sell,2023-09-11 09:38:00-04:00,178.75,stop_loss
buy,2023-09-11 09:39:00-04:00,178.4499969482422,moving_average
sell,2023-09-11 09:45:00-04:00,178.0290069580078,stop_loss
buy,2023-09-11 09:46:00-04:00,177.8800048828125,moving_average
sell,2023-09-11 09:51:00-04:00,177.57000732421875,stop_loss
sell,2023-09-11 09:53:00-04:00,177.96499633789062,moving_average
buy,2023-09-11 09:55:00-04:00,178.3000030517578,stop_loss
sell,2023-09-11 09:56:00-04:00,178.1999969482422,moving_average
buy,2023-09-11 11:19:00-04:00,178.5399932861328,stop_loss
sell,2023-09-11 11:25:00-04:00,178.85499572753906,moving_average
buy,2023-09-11 13:21:00-04:00,179.17999267578125,stop_loss
sell,2023-09-11 13:22:00-04:00,179.1750030517578,moving_average
buy,2023-09-11 14:14:00-04:00,179.47999572753906,stop_loss
sell,2023-09-11 15:24:00-04:00,179.8800048828125,moving_average
buy,2023-09-11 15:59:00-04:00,179.3800048828125,last_row
buy,2023-09-11 09:37:00-04:00,336.9100036621094,moving_average
sell,2023-09-11 09:38:00-04:00,336.5599975585937,stop_loss
buy,2023-09-11 09:39:00-04:00,336.7149963378906,moving_average
sell,2023-09-11 09:41:00-04:00,336.2300109863281,stop_loss
buy,2023-09-11 09:42:00-04:00,336.3299865722656,moving_average
sell,2023-09-11 09:55:00-04:00,337.33990478515625,take_profit
